"id","sku","title","short description","description","category","link","image_link","price","shipping","stock","Fitment"
"170719","GL091F","Stealth LED Mitsubishi L200 2019-2023 Twin 10 Flashing Luminous LED Integration Grille Kit - 7,560 Lumens","Mitsubishi L200 Series 6 2019-2023 models","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

 	Includes hardware, wireless control fob and wiring loom
 	Our LED’s use the highest quality Osram bulbs
 	Bespoke stainless steel mounting brackets
 	Step by step install guide included
 	Impact & scratch resistant Polycarbonate lens
 	UV protective & hard coating applied
 	Amber Flashing Beacon Function
 	Fully adjustable light position
 	E-marked & fully road-legal
 	Black powder-coat finish
 	5-year warranty



DESIGNED BY Stealth LED
Designed using sophisticated CAD and 3D scanning software, our Twin 10' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.
Our 10' Integration Kit for the Mitsubishi L200 offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.","Stealth LED Lights > Integration Kits","https://www.4x4predator.co.uk/integration-kits/stealth-led-mitsubishi-l200-2019-2023-twin-10-flashing-luminous-led-integration-grille-kit-7560-lumens/","https://www.4x4predator.co.uk/wp-content/uploads/2026/01/DSC_8266-WEBF.jpg.jpg","349.99","","in stock","L200,Mitsubishi,Series 6 (2019-2023)"
"170674","GL211","Stealth LED Mitsubishi L200 2019-2023 Twin 4 LED Ditch Light Kit - 16,800 Lumens","Mitsubishi L200 Series 6 2019-2023 models","Our Twin 4' Stealth LED Bonnet Kit produces 16,800 raw lumens.

 	Includes hardware, wireless control fob and wiring loom
 	Our LED's use the highest quality Osram bulbs
 	Bespoke stainless steel mounting brackets
 	Impact & scratch resistant Polycarbonate lens
 	UV protective & hard coating applied
 	Fully adjustable light position
 	Step by step install guide included
 	E-marked & fully road-legal
 	Black powder-coat finish
 	5-year warranty



DESIGNED BY Stealth LED


Designed using sophisticated CAD and 3D scanning software, our twin 4' LED Bonnet light kit is ingeniously engineered to mount to the existing bonnet brackets and does not require any cutting or drilling. The kit includes a step by step installation guide.


Stealth LED's 4' Bonnet Kit for the Mitsubishi L200 offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites, night time driving, camping and more!","Stealth LED Lights > Utility-Lights","https://www.4x4predator.co.uk/utility-lights/stealth-led-mitsubishi-l200-2019-2023-twin-4-led-ditch-light-kit-16800-lumens/","https://www.4x4predator.co.uk/wp-content/uploads/2026/01/DSC_8245-WEB.jpg","299.99","","in stock","L200,Mitsubishi,Series 6 (2019-2023)"
"170675","GL210","Stealth LED Mitsubishi L200 2019-2023 Twin 6 Luminous LED Rear Integration Kit - 5,760 Lumens","Mitsubishi L200 2019-2023 models","Our Twin 6' Stealth LED Grille kit produces 5,760 raw lumens.

 	Includes hardware, wireless control fob and wiring loom
 	Our LED's use the highest quality Osram bulbs
 	Bespoke stainless steel mounting brackets
 	Impact & scratch resistant Polycarbonate lens
 	UV protective & hard coating applied
 	Step by step install guide included
 	E-marked & fully road-legal
 	Black powder-coat finish
 	5-year warranty



DESIGNED BY Stealth LED



Designed using sophisticated CAD and 3D scanning software and fabricated in-house, our Twin 6' LED Rear light Kit is ingeniously engineered to mount to the vehicle using bespoke mounting brackets and includes a step by step installation guide.


Our Rear Twin 6' Integration Kit for the Mitsubishi L200 offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites, camp sites and off roading.","Stealth LED Lights > Integration Kits","https://www.4x4predator.co.uk/integration-kits/stealth-led-mitsubishi-l200-2019-2023-twin-6-luminous-led-rear-integration-kit-5760-lumens/","https://www.4x4predator.co.uk/wp-content/uploads/2026/01/DSC_8351-WEB.jpg","249.99","","in stock","L200,Mitsubishi,Series 6 (2019-2023)"
"170672","GL091","Stealth LED Mitsubishi L200 2019-2023 Twin 10 Luminous LED Integration Grille Kit - 7,560 Lumens","Mitsubishi L200 Series 6 2019-2023 models","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

 	Includes hardware, wireless control fob and wiring loom
 	Our LED's use the highest quality Osram bulbs
 	Bespoke stainless steel mounting brackets
 	Step by step install guide included
 	Impact & scratch resistant Polycarbonate lens
 	UV protective & hard coating applied
 	Fully adjustable light position
 	E-marked & fully road-legal
 	Black powder-coat finish
 	5-year warranty


DESIGNED BY Stealth LED


Designed using sophisticated CAD and 3D scanning software, our Twin 10' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.


Our 10' Integration Kit for the Mitsubishi L200 offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.","Stealth LED Lights > Integration Kits","https://www.4x4predator.co.uk/integration-kits/stealth-led-mitsubishi-l200-2019-2023-twin-10-luminous-led-integration-grille-kit-7560-lumens/","https://www.4x4predator.co.uk/wp-content/uploads/2026/01/DSC_8239-WEB.jpg","299.99","","in stock","L200,Mitsubishi,Series 6 (2019-2023)"
"170559","EXES199","Ford Ranger T8 3.2 TDCI 2019-2022 - Twin Tip Side Exit Exhaust","Ford Ranger T8 3.2 TDCi 2019-2022 models","Predator4x4 exhaust systems are designed in-house by our team of engineers, ensuring a perfect fit and optimal performance. A free flowing, direct replacement system, our cat back exhaust is an ideal upgrade to offer improved power or to replace a worn OEM system.

 	Engineered to improve throttle response and increased power and torque across the entire RPM range
 	A free flowing exhaust is a great way to get the best out of the Ranger's engine
 	Mandrel bent and fully TIG welded for strength and durability
 	Manufactured from high quality T304 grade stainless steel
 	Twin side exit tips designed to give an aggressive look","Exhausts > Exhaust Systems","https://www.4x4predator.co.uk/exhaust-systems/ford-ranger-t8-3-2-tdci-2019-2022-twin-tip-side-exit-exhaust/","https://www.4x4predator.co.uk/wp-content/uploads/2026/01/EXES199-01.jpg","599.99","oversized","in stock","Ford,Ranger T8 (2019-2022)"
"170558","EXES200","Ford Ranger T8 3.2 TDCI 2019-2022 - Twin Exit Raptor Style Exhaust","Ford Ranger T8 3.2 TDCi 2019-2022 models","Predator4x4 exhaust systems are designed in-house by our team of engineers, ensuring a perfect fit and optimal performance. A free flowing, direct replacement system, our cat back exhaust is an ideal upgrade to offer improved power or to replace a worn OEM system.

 	Engineered to improve throttle response and increased power and torque across the entire RPM range
 	A free flowing exhaust is a great way to get the best out of the Ranger's engine
 	Mandrel bent and fully TIG welded for strength and durability
 	Manufactured from high quality T304 grade stainless steel
 	Twin exit tips designed to replicate the raptor styling","Exhausts > Exhaust Systems","https://www.4x4predator.co.uk/exhaust-systems/ford-ranger-t8-3-2-tdci-2019-2022-twin-exit-raptor-style-exhaust/","https://www.4x4predator.co.uk/wp-content/uploads/2026/01/50-50.jpg","599.99","oversized","in stock","Ford,Ranger T8 (2019-2022)"
"170311","SNBG033","Mitsubishi Pajero Shogun V97 07-15 Black Bonnet Guard Protector","Mitsubishi Pajero/Shogun V97 2007-2015","Predator4x4 bonnet guards are built to endure the demands of daily usage and deflect insects, bugs, and other debris away from the windshield. Predator4x4 bonnet guard offers enhanced protection for your vehicle's paint, shielding it from potential damage while also giving is a rugged aesthetic.


 	Manufactured from OEM grade materials
 	Wide bonnet cover protects your front end
 	Adds a bold, off-road-inspired aesthetic to your vehicle
 	Protects your bonnet from scratches, debris, and minor impacts
 	No modifications required for a perfect fit to the OEM bonnet


For Reference OnlyInstallation guide","Styling > Bonnet Guards","https://www.4x4predator.co.uk/bonnet-guards/mitsubishi-pajero-shogun-v97-07-15-black-bonnet-guard-protector/","https://www.4x4predator.co.uk/wp-content/uploads/2026/01/SNBG033-01.jpg","29.99","","in stock","Mitsubishi,Pajero/Shogun,V80/V90 (2006-2022)"
"168449","WSPR038","VW Amarok I 10-20 5x120 65.1mm - 15mm Hubcentric Wheel Spacers","VW Amarok 2010-2020
VW Transporter T5 2003-2015
VW Transporter T6 2016+
Volkswagen Touareg 2002-2007*

*Only suitable for the 2.5 TDI models.","Predator4x4 wheel spacers are the perfect blend of durability, functionality, and style. With Predator4x4's new revolutionary rugged design of wheel spacer you can transform your Amarok's on-road and off-road presence and capabilities.


 	Hub-centric design ensures seamless and secure installation to your Amarok.
 	Ensures optimal stability and capability by expanding track width.
 	Manufactured from high strength Billet 6061-T6 aluminium alloy.
 	Features our new innovative & rugged design with knurled edges.
 	Rigorously tested, guaranteeing performance and reliability.","Suspension > Spacers","https://www.4x4predator.co.uk/wheel-spacers/vw-amarok-i-10-20-5x120-65-1mm-15mm-hubcentric-wheel-spacers/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/WSPR038-04.jpg","84.99","","in stock","Amarok,MK1 (2010-2020),Volkswagen"
"168822","BPRC040","BMW X3 F25 10-17 - Black Retractable Roller parcel Shelf","BMW X3 | F25 | 2010-2017 models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/bmw-x3-f25-10-17-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC040-1.jpg","114.99","","in stock","BMW,F25 (2010-2017),X3"
"168823","BPRC042","Nissan X-Trail MK4 T33 2021+ - Black Retractable Roller parcel Shelf","Nissan X-Trail | MK4 | T33 | 2021+ models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/nissan-x-trail-mk4-t33-2021-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC042-01.jpg","94.99","","out of stock","Nissan,T33 (2021+),X-Trail"
"168824","BPCC033","Audi Q2 MK1 2017+- Black Fixed Parcel Shelf","Audi Q2 | MK1 | GA | 2017+ models","Predator4x4 fixed parcel shelves are designed for a cleaner interior, improved security, and smarter storage. Engineered to match your vehicle’s rugged build, they keep your cargo protected and out of sight whether you're driving in the city or exploring off-road.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear & tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/audi-q2-mk1-2017-black-fixed-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPCC033-01.jpg","104.99","","in stock","Audi,MK1 (2017+),Q2"
"168820","BPRC037","Audi Q7 MK2 2015+ - Black Retractable Roller parcel Shelf","Audi Q7 | MK2 | 4M | 2015+ models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/audi-q7-mk2-2015-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC037-1.jpg","84.99","","in stock","4M (2015+),Audi,Q7"
"168819","BPRC035","Land Rover Freelander 2 L359 08-15 - Black Retractable Roller parcel Shelf","Land Rover Freelander 2 | L359 | 2008-2015 models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/land-rover-freelander-2-l359-08-15-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC035-03.jpg","74.99","","out of stock","Freelander,Freelander 2 L359 (2007-2015),Land Rover"
"168813","BPRC028","Mitsubishi Outlander MK3 Power Tailgate 12-20 - Black Retractable Roller parcel Shelf","Mitsubishi Outlander | MK3 | GF/GG | 2013-2019 Power Tailgate models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/mitsubishi-outlander-mk3-power-tailgate-12-20-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC028-1.jpg","69.99","","out of stock","Mitsubishi,MK3 (2012-2020),Outlander"
"168814","BPRC029","Mitsubishi Outlander MK3 Manual Tailgate 12-20 - Black Retractable Roller parcel Shelf","Mitsubishi Outlander | MK3 | GF/GG | 2012-2020 Manual Tailgate models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/mitsubishi-outlander-mk3-manual-tailgate-12-20-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC029-3.jpg","64.99","","out of stock","Mitsubishi,MK3 (2012-2020),Outlander"
"168815","BPRC030","Range Rover Sport L320 05-13 - Black Retractable Roller parcel Shelf","Range Rover Sport | L320 | 2005-2013 models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/range-rover-sport-l320-05-13-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC030-02.jpg","74.99","","out of stock","L320 (2005-2013),Land Rover,Range Rover Sport"
"168816","BPRC031","Range Rover Sport L494 13-21 - Black Retractable Roller parcel Shelf","Range Rover Sport | L494 | 2013-2021 models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/range-rover-sport-l494-13-21-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC031-02.jpg","84.99","","out of stock","L494 (2013-2021),Land Rover,Range Rover Sport"
"168817","BPRC032","Land Rover Discovery 5 L462 2017+ - Black Retractable Roller parcel Shelf","Land Rover Discovery 5 | L462 | 2017+ models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/land-rover-discovery-5-l462-2017-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC032-1.jpg","79.99","","out of stock","Discovery,Discovery 5 L462 (2017+),Land Rover"
"168818","BPRC033","Land Rover Discovery Sport L550 2014+ - Black Retractable Roller parcel Shelf","Land Rover Discovery Sport | L550 | 2014+ models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement for easy installation
 	Retractable design easily conceals valuables from view
 	Easily pulls out when needed and retracts when not used
 	Made from high quality materials to withstand the wear and tear of daily use
 	Simple to install and remove, making it versatile for different needs and easy to clean.","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/land-rover-discovery-sport-l550-2014-black-retractable-roller-parcel-shelf/","https://www.4x4predator.co.uk/wp-content/uploads/2025/12/BPRC033-02.jpg","84.99","","out of stock","Discovery Sport,L550 (2014+),Land Rover"
